,S&P 500 INDEX,Russell 1000 Value Index,Russell 2000 Total Return Index,Russell 2000 Index,Bloomberg US Corporate Total Return Value Unhedged USD,Bloomberg US Corporate High Yield Total Return Index Value Unhedged USD,LBMA Gold Price PM USD
,SPX Index,RLV Index,RU20INTR Index,RTY Index,LUACTRUU Index,LF98TRUU Index,GOLDLNPM Index
9/16/2008,1213.59,649.49,3068.42,710.648,1630.25,861.82,779.5
9/17/2008,1156.39,617.48,2920.66,676.38,1605.9,855.48,813
9/18/2008,1206.52,650.79,3124.93,723.676,1586.19,850.22,863
9/19/2008,1255.08,685.2,3254.78,753.744,1572.92,859.82,869
9/22/2008,1207.09,653.29,3110.99,720.442,1583.81,860.02,889
9/23/2008,1188.22,643.06,3062.57,709.191,1577.98,853.32,899
9/24/2008,1185.87,639.57,3013.41,697.774,1582.09,847.26,896
9/25/2008,1209.18,653.9,3047.87,705.743,1565.7,837.38,888.5
9/26/2008,1213.01,656.96,3045.37,704.791,1546.18,827.14,902
9/29/2008,1106.39,595.76,2842.13,657.718,1563.09,819.3,905
9/30/2008,1166.36,632.15,2936.63,679.583,1530.7,809.78,884.5
10/1/2008,1161.07,633.83,2902.19,671.59,1529.56,803.55,880
10/2/2008,1114.28,609.72,2755.79,637.669,1532.58,784.5,852
10/3/2008,1099.23,597.75,2676.92,619.401,1534.7,779.72,828
10/6/2008,1056.89,575.2,2575.45,595.912,1542.17,763.46,875.5
10/7/2008,996.23,538.68,2415.76,558.953,1527.53,758.47,876.75
10/8/2008,984.94,529.93,2362.41,546.565,1499.13,744.24,903.5
10/9/2008,909.92,482.08,2157.94,499.203,1484.08,730.75,883.5
10/10/2008,899.22,479.23,2258.94,522.481,1470.67,696.4,900.5
10/13/2008,1003.35,533.24,2468.22,570.887,,,831.5
10/14/2008,998.01,539.02,2398.02,554.647,1466.75,716.18,832.5
10/15/2008,907.84,489.66,2171.1,502.11,1451.43,698.05,847
10/16/2008,946.43,508.63,2320.1,536.567,1447.21,685.6,802.5
10/17/2008,940.55,504.79,2277.01,526.597,1433.46,680.79,784.5
10/20/2008,985.4,530.24,2365.32,547.006,1434.15,686.41,795
10/21/2008,955.05,516.61,2295.33,530.812,1448.81,689.75,772
10/22/2008,896.78,482.93,2170.73,501.966,1455.66,687.55,744
10/23/2008,908.11,490.43,2118.66,489.92,1462.13,682.49,720
10/24/2008,876.77,472.96,2037.37,471.119,1445.84,672.42,712.5
10/27/2008,848.92,457.75,1939.15,448.403,1444.68,669.16,730.5
10/28/2008,940.51,507.09,2086.87,482.551,1441.73,671.05,730.5
10/29/2008,930.09,499.69,2123.55,490.881,1440.11,678.34,764
10/30/2008,954.09,511.29,2224.61,514.177,1440.43,684.53,755.25
10/31/2008,968.75,521.37,2325.73,537.521,1432.06,680.97,730.75
11/3/2008,966.3,521.59,2330,538.496,1436.61,681.5,729.5
11/4/2008,1005.75,543.51,2362.3,545.952,1449.43,687.25,741.25
11/5/2008,952.77,512.72,2226.97,514.638,1464.25,689.74,753.75
11/6/2008,904.88,485.91,2145.93,495.843,1466.06,686.79,754.5
11/7/2008,930.99,500.34,2189.13,505.793,1463.01,682.01,735.25
11/10/2008,919.21,491.78,2134.25,493.104,1477.26,682.28,753
11/11/2008,898.95,481.71,2087.44,482.287,,,733.75
11/12/2008,852.3,454.93,1960.23,452.795,1482.4,674.12,724.75
11/13/2008,911.29,488.73,2127.06,491.234,1475.77,668.38,713.5
11/14/2008,873.29,468.84,1976.78,456.524,1476.68,662.41,747.5
11/17/2008,850.75,456.18,1954.28,451.299,1476.7,657.7,734
11/18/2008,859.12,460.09,1938.04,447.514,1479.9,647.75,738
11/19/2008,806.58,428.44,1786.2,412.38,1484.4,634.25,762
11/20/2008,752.44,395.47,1669.01,385.308,1488.15,618.56,738
11/21/2008,800.03,420.49,1760.99,406.536,1475.61,609.1,774.5
11/24/2008,851.81,453,1892.15,436.796,1469.86,607.69,822.5
11/25/2008,857.39,459,1920.09,443.184,1481.87,610.93,820.5
11/26/2008,887.68,475.34,2032.02,468.861,1485.38,614.5,812.5
11/27/2008,,,,,,,814
11/28/2008,896.24,482.06,2050.62,473.138,1490.33,617.55,814.5
12/1/2008,816.21,435.11,1807.73,417.074,1503.7,616.58,778
12/2/2008,848.81,456.49,1915.04,441.824,1505.98,617.92,780
12/3/2008,870.74,469.38,1966.95,453.755,1506.66,614.56,766.25
12/4/2008,845.22,456.46,1905.33,439.529,1514.09,613.16,773.25
12/5/2008,876.07,474.73,1998.94,461.093,1509.27,606.13,749
12/8/2008,909.7,493.86,2086.94,481.378,1508.03,609.68,767.25
12/9/2008,888.67,479.42,2019.09,465.709,1516.51,612.65,767.75
12/10/2008,899.24,484.89,2065.63,476.398,1518.38,610.82,802.25
12/11/2008,873.59,469.1,1957.13,451.214,1521.32,606.65,827.75
12/12/2008,879.73,473.97,2031.87,468.43,1524.18,598.84,826.5
12/15/2008,868.57,465.55,1963.17,452.565,1529.91,600.84,826
12/16/2008,913.18,492.25,2094.8,482.849,1542.7,602.46,838.25
12/17/2008,904.42,487.39,2111.34,486.594,1560.45,607.09,870
12/18/2008,885.28,476.04,2079.27,479.172,1576.2,614.27,855.25
12/19/2008,887.88,477.04,2110.17,486.258,1577,618.49,835.75
12/22/2008,871.63,467.5,2061.72,475.073,1579.99,623.81,849
12/23/2008,863.16,462.81,2033.95,468.636,1580.99,629.89,843.5
12/24/2008,868.15,465.83,2042.08,470.486,1583.54,630.83,
12/26/2008,872.8,468.91,2069.43,476.768,1587.42,637.1,
12/29/2008,869.42,466.67,2024.74,466.154,1591.69,645.16,880.25
12/30/2008,890.64,478.63,2097.12,482.77,1599.39,659.39,869.75
12/31/2008,903.25,487.05,2169.65,499.453,1591.62,665,
1/2/2009,931.8,500.54,2197.45,505.845,1578.43,669.24,874.5
1/5/2009,927.45,496.37,2193.97,505.03,1577.04,681.69,853.5
1/6/2009,934.7,499.75,2236.07,514.71,1587.39,701.25,848.25
1/7/2009,906.65,483.63,2159.69,497.096,1600.62,709.97,848.5
1/8/2009,909.73,485.5,2181.1,502.009,1606.09,705.69,855.75
1/9/2009,890.35,475.19,2091.16,481.298,1608.2,708.9,847.25
1/12/2009,870.26,462.44,2036.89,468.8,1618.72,711.7,827
1/13/2009,871.79,463.9,2058.74,473.786,1614.69,708.74,826.5
1/14/2009,842.62,446.74,1969.24,453.17,1622.47,703.12,821.5
1/15/2009,843.74,444.86,2010.34,462.625,1622.88,698.62,810
1/16/2009,850.12,447.18,2026.98,466.448,1617.9,701.58,833.75
1/19/2009,,,,,,,833
1/20/2009,805.22,419.5,1884.58,433.645,1615.57,701.59,853.25
1/21/2009,840.24,439.62,1985.12,456.764,1599.77,699.41,849.25
1/22/2009,827.5,432.07,1924.66,442.847,1595.11,698.88,860
1/23/2009,831.95,434.27,1931.25,444.36,1591.33,696.98,875.75
1/26/2009,836.57,435.83,1956.07,450.058,1593.15,697.7,910.25
1/27/2009,845.71,440.96,1980.11,455.585,1609.09,699.06,897.5
1/28/2009,874.09,458.42,2056.27,473.024,1605.79,703.95,895.25
1/29/2009,845.14,440.52,1970.52,453.241,1597.72,705.67,892.25
1/30/2009,825.88,430.08,1928.33,443.526,1598.84,704.86,919.5
2/2/2009,825.44,429.38,1954.81,449.612,1608.98,705.52,918.25
2/3/2009,838.51,433.15,1969.22,452.896,1598.22,705.31,904.5
2/4/2009,832.23,427.97,1950.16,448.479,1591.54,707.97,905
2/5/2009,845.85,433.23,1979.06,455.078,1594.13,710.29,920
2/6/2009,868.6,447.02,2047.2,470.704,1590.4,711,913
