Date,IG_Spread,HY_Spread,HY_Change,IG_Change,HY_IG_Spread
2023-08-18,1.21,3.92,0.04999999999999982,0.020000000000000018,2.71
2023-08-21,1.2,3.88,-0.040000000000000036,-0.010000000000000009,2.6799999999999997
2023-08-22,1.19,3.85,-0.029999999999999805,-0.010000000000000009,2.66
2023-08-23,1.19,3.82,-0.03000000000000025,0.0,2.63
2023-08-24,1.16,3.85,0.03000000000000025,-0.030000000000000027,2.6900000000000004
2023-08-25,1.16,3.8,-0.050000000000000266,0.0,2.6399999999999997
2023-08-28,1.17,3.77,-0.029999999999999805,0.010000000000000009,2.6
2023-08-29,1.17,3.77,0.0,0.0,2.6
2023-08-30,1.13,3.7,-0.06999999999999984,-0.040000000000000036,2.5700000000000003
2023-08-31,1.13,3.72,0.020000000000000018,0.0,2.5900000000000003
2023-09-01,1.11,3.66,-0.06000000000000005,-0.019999999999999796,2.55
2023-09-05,1.13,3.72,0.06000000000000005,0.019999999999999796,2.5900000000000003
2023-09-06,1.16,3.71,-0.010000000000000231,0.030000000000000027,2.55
2023-09-07,1.18,3.76,0.04999999999999982,0.020000000000000018,2.58
2023-09-08,1.18,3.72,-0.03999999999999959,0.0,2.54
2023-09-11,1.19,3.7,-0.020000000000000018,0.010000000000000009,2.5100000000000002
2023-09-12,1.22,3.72,0.020000000000000018,0.030000000000000027,2.5
2023-09-13,1.21,3.74,0.020000000000000018,-0.010000000000000009,2.5300000000000002
2023-09-14,1.18,3.68,-0.06000000000000005,-0.030000000000000027,2.5
2023-09-15,1.18,3.74,0.06000000000000005,0.0,2.5600000000000005
2023-09-18,1.21,3.72,-0.020000000000000018,0.030000000000000027,2.5100000000000002
2023-09-19,1.18,3.73,0.009999999999999787,-0.030000000000000027,2.55
2023-09-20,1.16,3.69,-0.040000000000000036,-0.020000000000000018,2.5300000000000002
2023-09-21,1.17,3.8,0.10999999999999988,0.010000000000000009,2.63
2023-09-22,1.21,3.84,0.040000000000000036,0.040000000000000036,2.63
2023-09-25,1.18,3.87,0.03000000000000025,-0.030000000000000027,2.6900000000000004
2023-09-26,1.21,3.96,0.08999999999999986,0.030000000000000027,2.75
2023-09-27,1.21,3.93,-0.029999999999999805,0.0,2.72
2023-09-28,1.25,3.98,0.04999999999999982,0.040000000000000036,2.73
2023-09-29,1.22,3.94,-0.040000000000000036,-0.030000000000000027,2.7199999999999998
2023-10-02,1.23,4.02,0.07999999999999963,0.010000000000000009,2.7899999999999996
2023-10-03,1.25,4.2,0.1800000000000006,0.020000000000000018,2.95
2023-10-04,1.32,4.27,0.0699999999999994,0.07000000000000006,2.9499999999999993
2023-10-05,1.31,4.29,0.020000000000000462,-0.010000000000000009,2.98
2023-10-06,1.27,4.22,-0.07000000000000028,-0.040000000000000036,2.9499999999999997
2023-10-09,1.27,4.22,0.0,0.0,2.9499999999999997
2023-10-10,1.27,4.05,-0.16999999999999993,0.0,2.78
2023-10-11,1.27,4.05,0.0,0.0,2.78
2023-10-12,1.21,4.06,0.009999999999999787,-0.06000000000000005,2.8499999999999996
2023-10-13,1.27,4.12,0.0600000000000005,0.06000000000000005,2.85
2023-10-16,1.24,4.09,-0.03000000000000025,-0.030000000000000027,2.8499999999999996
2023-10-17,1.22,4.05,-0.040000000000000036,-0.020000000000000018,2.83
2023-10-18,1.22,4.14,0.08999999999999986,0.0,2.92
2023-10-19,1.23,4.23,0.09000000000000075,0.010000000000000009,3.0000000000000004
2023-10-20,1.26,4.35,0.11999999999999922,0.030000000000000027,3.09
2023-10-23,1.29,4.34,-0.009999999999999787,0.030000000000000027,3.05
2023-10-24,1.26,4.23,-0.10999999999999943,-0.030000000000000027,2.9700000000000006
2023-10-25,1.21,4.2,-0.03000000000000025,-0.050000000000000044,2.99
2023-10-26,1.29,4.31,0.10999999999999943,0.08000000000000007,3.0199999999999996
2023-10-27,1.29,4.34,0.03000000000000025,0.0,3.05
2023-10-30,1.28,4.37,0.03000000000000025,-0.010000000000000009,3.09
2023-10-31,1.27,4.37,0.0,-0.010000000000000009,3.1
2023-11-01,1.33,4.38,0.009999999999999787,0.06000000000000005,3.05
2023-11-02,1.27,4.06,-0.3200000000000003,-0.06000000000000005,2.7899999999999996
2023-11-03,1.26,3.95,-0.10999999999999943,-0.010000000000000009,2.6900000000000004
2023-11-06,1.25,3.9,-0.050000000000000266,-0.010000000000000009,2.65
